ALMIRA NO.1,,,,,,
MAKE,MATERIAL DISCRIPTION,TYPE (RATING),SIZE,LOCATION,TOTAL NO,
C&S,HRC FUSE LINK,"32A, gG, 500VAC, 80kA","CDFL00, SIZE:00",1 ALMIRA / 1 RACK,150,
SIEMENS,HRC FUSE LINK (BI FUSE),"32A, gG",3NW NS32,1 ALMIRA / 1 RACK,165,
C&S,HRC FUSE LINK,"32A, gG, 415VAC, 80kA","CSTIA, SIZE:A2",1 ALMIRA / 1 RACK,140,
C&S,HRC FUSE LINK,"2A, F1, gG, 415VAC, 80kA",CNS2,1 ALMIRA / 1 RACK,260,
C&S,HRC FUSE LINK,"2A, 14*51, gG, 415VAC, 80kA",CHF2,1 ALMIRA / 1 RACK,210,
SIEMENS,HRC FUSE LINK (BI FUSE),"4A, gG, 415VAC, 80kA",3NW NS4,1 ALMIRA / 1 RACK,430,
C&S,HRC FUSE LINK,"50A, gG, 500VAC, 80kA","CDFL00, SIZE:00",1 ALMIRA / 2 RACK,171,
C&S,HRC FUSE LINK,"100A, gG, 500VAC, 80kA","CDFL00, SIZE:00",1 ALMIRA / 2 RACK,60,
C&S,HRC FUSE LINK,"500A, gG, 415VAC, 80kA","CDFL3, SIZE 3",1 ALMIRA / 2 RACK,45,
C&S,HRC FUSE LINK,"630A, gG, 415VAC, 80kA","CDFL3, SIZE 3",1 ALMIRA / 3 RACK,41,
SIEMENS,LV HRC FUSE LINK,"63A, NH000 gG, 500VAC, 120kA","3NA7, 822-ORC",1 ALMIRA / 3 RACK,23,
C&S,HRC FUSE LINK,"63A, gG, 500VAC, 80kA","CDFL00, SIZE:00",1 ALMIRA / 3 RACK,3,
BUSSMANN,CARTRIDGE FUSES,"6A, 10*38, 500VAC, 100kA",C10G6,1 ALMIRA / 3 RACK,34,
BUSSMANN,CARTRIDGE FUSES,"32A, 10*38, 400VAC, 120kA",C10G32,1 ALMIRA / 3 RACK,20,
BUSSMANN,CARTRIDGE FUSES,"2A, 10*38, 500VAC, 120kA",C10G2,1 ALMIRA / 3 RACK,25,
BUSSMANN,CARTRIDGE FUSES,"16A, 10*38, 500VAC, 120kA",C10G16,1 ALMIRA / 3 RACK,27,
C&S,HRC FUSE LINK,"63A, 14*51, gG, 415VAC, 80kA",CHF63 ,1 ALMIRA / 3 RACK,5,
C&S,HRC FUSE LINK,"20A, gG, 500VAC, 80kA","CDFL00, SIZE:00",1 ALMIRA / 4 RACK,201,
SIEMENS,HRC FUSE LINK (BI FUSE),"6A, gG, 415VAC,80kA",3NW NS6,1 ALMIRA / 4 RACK,238,
C&S,HRC FUSE LINK,"6A, 14*51, gG, 415VAC,80kA",CHF6,1 ALMIRA / 4 RACK,80,
SIEMENS,HRC FUSE LINK (BI FUSE),"20A, gG, 415VAC, 80kA",3NW NS20,1 ALMIRA / 4 RACK,230,
C&S,HRC FUSE LINK,"6A, F1, gG, 415VAC, 80kA",CNS6,1 ALMIRA / 4 RACK,167,
SIEMENS,HRC FUSE LINK (BI FUSE),"25A, gG, 415VAC, 80kA",3NW NS25,1 ALMIRA / 4 RACK,260,
SIEMENS,HRC FUSE LINK (BI FUSE),"10A, gG, 415VAC, 80kA",3NW NS10,1 ALMIRA / 4 RACK,580,
C&S,HRC FUSE LINK,"6A, F1, gG, 415VAC, 80kA",CNS10,1 ALMIRA / 4 RACK,188,
C&S,HRC FUSE LINK,"10A, 14*15, gG, 415VAC, 80kA",CHF10,1 ALMIRA / 4 RACK,160,
C&S,HRC FUSE LINK,"25A, 14*15, gG, 415VAC, 80kA",CHF25,1 ALMIRA / 4 RACK,240,
C&S,HRC FUSE LINK,"16A, gG, 500VAC, 80kA","CDFL00, SIZE:00",1 ALMIRA / 5 RACK,84,
C&S,HRC FUSE LINK,"125A, gG, 500VAC, 80kA","CDFL00, SIZE:00",1 ALMIRA / 5 RACK,42,
C&S,HRC FUSE LINK,"200A, gG, 500VAC, 80kA","CDFL1, SIZE:1",1 ALMIRA / 5 RACK,16,
C&S,HRC FUSE LINK,"315A, gG, 500VAC, 80kA","CDFL2, SIZE:2",1 ALMIRA / 5 RACK,9,
C&S,HRC FUSE LINK,"400A, gG, 500VAC, 80kA","CDFL2, SIZE:2",1 ALMIRA / 5 RACK,27,
C&S,HRC FUSE LINK,"16A, 14*15, gG, 415VAC, 80kA",CHF16,1 ALMIRA / 5 RACK,145,
SIEMENS,HRC FUSE LINK (BI FUSE),"16A, gG, 415VAC, 80kA",3NW NS16,1 ALMIRA / 5 RACK,278,
,,,,,,
,,,,,,
ALMIRA NO.2,,,,,,
MAKE,MATERIAL DISCRIPTION,TYPE (RATING),SIZE,LOCATION,TOTAL NO,
TC,CONTROL RELAY,COIL 24VDC,TCA3DN22BD,2 ALMIRA / 1 RACK,10,
SCHNEIDER,CONTACTOR 80A,220V 37KW 3P,LC1E80M7,2 ALMIRA / 1 RACK,3,
C&S,POSITION INDICATION SWITCH FOR ACB 2000A-4000A,,ALB-IP-2,2 ALMIRA / 1 RACK,5,
TC,CONTROL RELAY,COIL 220V,TCA2DN22M5,2 ALMIRA / 1 RACK,10,
TC,CONTROL RELAY,COIL 110V,CA2DN1129F,2 ALMIRA / 1 RACK,5,
C&S,POSITION INDICATION SWITCH UPTO 1600A & 2000A (AHA),,ALB-4P-1,2 ALMIRA / 1 RACK,2,
C&S,SHUNT TRIP (AH-20D-40D) & (ANA-25N-40S),220VDC,CS-AVH-S-220MD,2 ALMIRA / 1&2 RACK,7,
,FLOAT SWITCH FLUID LEVEL CONTROLLER WITH 15MTR WIRE,,,2 ALMIRA / 1 RACK,3,
RR CABLE,2.5 SQ MM 1 CORE WIRE,,FR-LSH,2 ALMIRA / 1 RACK,200MTR,
C&S,AUXILIARY SWITCH 14 WAY (7NO+7NC) 6D-16D/08N-20S (AHA),,CS-AZH-7A7B-1,2 ALMIRA / 1 RACK,2,
C&S,MICRO SWITCH,,MICROSW,2 ALMIRA / 1 RACK,6,
C&S,AUXILIARY CONTACT  1NO+1NC,,CSSDFZX46,2 ALMIRA / 1 RACK,10,
SIEMENS,ELECTRONIC TIMER ON-DELAY (MTS) (0.05 SEC-100HRS),24-240V AC/DC,BRP15 25-1BW30-8K,2 ALMIRA / 1 RACK,8,
C&S,CHARGING MOTORS FOR 20D-40D/30S-40S(AHA)," (110V AC/DC, 220V AC/DC, 250V AC/DC)",CS-AMH-2,2 ALMIRA / 2 RACK,4,
SCHNEIDER,MOULDED CASE CIRCUIT BRAKER MCCB,"32A 3P, CVS 100N",LV510472,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ALMIRA NO.3,,,,,,
MAKE,MATERIAL DISCRIPTION,TYPE (RATING),SIZE,LOCATION,TOTAL NO,
PERMACEL,SELP FUSING TAPE ( INSULATINO TAPE ),,,3 ALMIRA / 1 RACK,14,
SONA,LUG CU RING INSULTED 2.5 mm SMALL,,2.5mm smalll,3 ALMIRA / 1 RACK,4800,
SONA,LUG CU PIN INSULTED 2.5 mm,,2.5 mm,3 ALMIRA / 1 RACK,4200,
SONA,LUG CU FLAT 185 mm,,185 mm,3 ALMIRA / 1 RACK,310,
SELEC,ANALOG TIMER ( 22.5 ),,22.5,3 ALMIRA / 1 RACK,3,
PANASONIC,MCB 63A / 415V,63 / 415,,3 ALMIRA / 1 RACK,1,
BHEL,PLC FRO F/W BOOSTER P/P LEP,,,3 ALMIRA / 1 RACK,3,
BOSCH,HOT GUN,,,3 ALMIRA / 1 RACK,2,
ESSEN,LIMIT SWITCH PS2RLL1 ( WB ),,,3 ALMIRA / 2 RACK,98,
ESSEN,LIMIT SWITCH LSMS-11,,,3 ALMIRA / 2 RACK,222,
ESSEN,PUSH BUTTON PCB2-BS545,,,3 ALIMRA / 2 RACK,32,
ESBEE PRO,INDICATOR LAMP,,,3 ALMIRA / 2 RACK,40,
BLUE STAR,MODULAR MASTER DISPLAY HANDSET,,,3 ALMIRA / 2 RACK,2,
,MODULAR MASTER CONTROLLER WITH TRANSFORM,,,3 ALMIRA / 2 RACK,1,
,MODULAR SLAVE BASE CONTROLLER,,,3 ALMIRA / 2 RACK,2,
MECO,MC DIN AC RECTIFIER TYPE PAND METER 240 DEGREE,,,3 ALMIRA / 2 RACK,7,
TC,PUSH BUTTON RCB2BA41,,,3 ALMIRA / 2 RACK,100,
TC,PIUSH BUTTON RCB2BA31,,,3 ALMIRA / 2 RACK,100,
TC,E - STOP PUSH BUTTON RCB2BS54,,,3 ALMIRA / 2 RACK,16,
TC,PUSH BUTTON RCB2BA4 ( RED ),RED,,3 ALMIRA / 2 RACK,12,
TC,PUSH BUTTON RCB2BA4 ( GREEN ),GREEN,,3 ALMIRA / 2 RACK,12,
SEOTCH,TNSULATION TAPE,,,3 ALMIRA / 2 RACK,85,
SCHNEIDER,PUSH BUTTON XALD01,XALD01,,3 ALMIRA / 2 RACK,,
TC,LIMIT SWITCH RCB2BA4 ( GREEN ),GREEN,,3 ALMIRA / 2 RACK,29,
SEOTCH,TNSULATION TAPE,,,3 ALMIRA / 2 RACK,8,
AIRON,CONTROL SWITCHES ( WB ) GREEN,GREEN,,3 ALMIRA / 3 RACK,29,
AIRON,FIXED SWITCH ( WB ) GREEN ,GREEN,,3 ALMIRA / 3 RACK,27,
SELEC,ASTRNOMICAL TIME SWITCH (ATS2M1-1-16A-230V,16A / 230V,16A / 230V,3 ALMIRA / 4 RACK,17,
SCHNEIDER,PUSH BUTTON SPRING RETURN ( RED ),RED,,3 ALMIRA / 5 RACK,20,
SCHNEIDER,PUSH BUTTON SPRING RETURN ( GREEN ),GREEN,,3 ALMIRA / 5 RACK,20,
SCHNEIDER,PUSH BUTTON PENDED,PENDED,,3 ALMIRA / 5 RACK,20,
,,,,,,
,,,,,,
ALMIRA NO.4,,,,,,
MAKE,MATERIAL DISCRIPTION,TYPE (RATING),SIZE,LOCATION,TOTAL NO,
DOOR LOCK,DOOR LOCK STAR ( * ),,,4 ALMIRA / 1 RACK,80,
POLYCAB ,CABLE 6 MM SQ AND MIX,,10 MTR,4 ALMIRA / 1 RACK,10 MTR,
RR,CABLE 2.5 SQ MM,,3 MTR,4 ALMIRA / 1 RACK,3 MTR,
ETIRA,CABLE 4.0 SQ MM,,30 MTR,4 ALMIRA / 1 RACK,30 MTR,
BRACKER,BRACKER HENDAL,,1,4ALMIRA / 1 RACK,1,
PERMACEL,SELP FUSING TAPE ( INSULATINO TAPE ),,,4 ALMIRA / 2 RACK,4200,
SONA,LUG CU RING INSULTED 2.5 mm SMALL,,2.5mm smalll,4 ALMIRA / 2 RACK,310,
SONA,LUG CU PIN INSULTED 2.5 mm ,,2.5 mm ,4 ALMIRA / 2 RACK,3,
SONA,LUG CU FLAT 185 mm ,,185 mm,4 ALMIRA / 2 RACK,1,
SELEC ,ANALOG TIMER ( 22.5 ),,22.5,4 ALMIRA / 2 RACK,3,
PANASONIC,MCB 63A / 415V ,63 / 415,,4 ALMIRA / 3 RACK,2,
BHEL,PLC FRO F/W BOOSTER P/P LEP ,,,4 ALMIRA / 3 RACK,98,
BOSCH,HOT GUN,,,4 ALMIRA / 3 RACK,222,
ESSEN,MCCB PS2RLL1 ( WB ) ,,,4 ALMIRA / 3 RACK,32,
ESSEN,PUSH BUTTON LSMS-11,,,4 ALMIRA / 3 RACK,40,
ESSEN,PUSH BUTTON PCB2-BS545,,,4 ALMIRA / 3 RACK,2,
ESBEE PRO,INDICATOR LAMP,,,4 ALMIRA / 3 RACK,1,
BLUE STAR,MODULAR MASTER DISPLAY HANDSET ,,,4 ALMIRA / 3 RACK,2,
,MODULAR MASTER CONTROLLER WITH TRANSFORM,,,4 ALMIRA / 3 RACK,7,
,MODULAR SLAVE BASE CONTROLLER ,,,4 ALMIRA / 3 RACK,100,
MECO,MC DIN AC RECTIFIER TYPE PAND METER 240 DEGREE ,,,4 ALMIRA / 3 RACK,100,
TC,PUSH BUTTON RCB2BA41,,,4 ALMIRA / 4 RACK,16,
TC,PIUSH BUTTON RCB2BA31,,,4 ALMIRA / 4 RACK,12,
TC,E - STOP PUSH BUTTON RCB2BS54,,,4 ALMIRA / 2 RACK,12,
TC,PUSH BUTTON RCB2BA4 ( RED ),RED,,4 ALMIRA / 2 RACK,85,
TC,CONTROL  225A,225A,,4 ALMIRA / 1 RACK,25,
TC, CONTACT SET-1 630A,630A,,4 ALMIRA / 1 RACK,7,
,HOOK CHARGER 5.20A,5.20A,,4 ALMIRA / 1 RACK,2,
,HOOK CHARGER 7.20A,7.20A,,4 ALMIRA / 1 RACK,1,
,SMALL BATTERY CHARGER 7.20A,7.20A,12X150,4ALMIRA / 1 RACK,2,
,SHUNT TRIP ( AH-20D-40D) & ( AHA-25N-40S ) 250V AC,,,4 ALMIRA / 2 RACK,16,
SIEMENS,AIR SU,,,4 ALMIRA / 2 RACK,3,
,ANCHOR FASTE,,12mm ,4 ALMIRA / 2 RACK,18,
,GUJJA ,,,4 ALMIRA / 2 RACK,1,
,NUT ,,6+6 mm,4 ALMIRA / 2 RACK,11,
C&S,3 POLE CONTACTOR 100A / 415V,,,4 ALMIRA / 3 RACK,27,
C&S,HRC FUSE LINK,,14X51,4 ALMIRA / 3 RACK,90,
C&S,HF HRC FUSE LINK,,14X51,4 ALMIRA / 3 RACK,120,
C&S,HN HRC FUSE LINE,,0,4 ALMIRA / 3 RACK,27,
LT SWITCHGEAR,HF HRC FUSE LINK,,14X51,4 ALMIRA / 3 RACK,150,
LT SWITCHGEAR,HF HRC FUSE LINK,,14X51,4 ALMIRA / 3 RACK,30,
LT SWITCHGEAR,HF HRC FUSE LINK,,14X51,4 ALMIRA / 3 RACK,30,
LT SWITCHGEAR,HF HRC FUSE LINK,,14X51,4 ALMIRA / 3 RACK,30,
LT SWITCHGEAR,HRC FUSE LINK,,,4 ALMIRA / 3 RACK,30,
LT SWITCHGEAR,HF HRC FUSE LINK,,14X51,4 ALMIRA / 3 RACK,60,
C&S,HIGH BREAKING CAPACITY FUSE LINK ,,0,4 ALMIRA / 3 RACK,513,
C&S,HIGH BREAKING CAPACITY FUSE LINK ,,0,4 ALMIRA / 4 RACK,180,
C&S,HIGH BREAKING CAPACITY FUSE LINK ,,0,4 ALMIRA / 4 RACK,117,
C&S,HIGH BREAKING CAPACITY FUSE LINK ,,0,4 ALMIRA / 4 RACK,30,
C&S,HIGH BREAKING CAPACITY FUSE LINK ,,0,4 ALMIRA / 4 RACK,81,
C&S,HIGH BREAKING CAPACITY FUSE LINK ,,0,4 ALMIRA / 5 RACK,90,
C&S,HIGH BREAKING CAPACITY FUSE LINK ,,0,4 ALMIRA / 5 RACK,8,
C&S,HIGH BREAKING CAPACITY FUSE LINK ,,0,4 ALMIRA / 5 RACK,2,
C&S,HIGH BREAKING CAPACITY FUSE LINK ,,0,4 ALMIRA / 5 RACK,6,
C&S,HIGH BREAKING CAPACITY FUSE LINK ,,,4 ALMIRA / 5 RACK,42,
,,,,,,
C&S,ANTI PUMPING RELAY 1600A,,CS-ANTPUMPRIY-116MD,,12,
C&S,AUX ISOLATING CONTACT ASSEMBLY ,,AIH-BC,,1,
C&S,AUXILIARY CONTACT -1NO+1NC,,CSSDFZX1,,10,
SURDHI,FAILURE RELAY,,,,4,
C&S,DOWEL PIN OF D/O GEAR OF 200A ACB ,1600A,ACB ACCESSORIES CSSPGDLPN013,,3,
C&S,     DOWEL PIN OF D/O GEAR OF 1300A ACB,,ACB ACCESSORIES CS-AVH-S-220MA,,1,
C&S,     DOWEL PIN OF D/O GEAR OF 1400A ACB,M8568430118, SFU ACCESSORIES CSSDFZX1,,10,
